FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69132 140.81270,37.69061 140.81360,37.69061 140.81360,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,相馬郡,飯舘村,2017/08/06 01:13:37,2017/08/06 01:15:28,0.32000,491
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69203 140.81270,37.69132 140.81360,37.69132 140.81360,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,相馬郡,飯舘村,2017/08/06 01:13:42,2017/08/06 01:15:23,0.26667,490
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81360,37.69132 140.81360,37.69061 140.81450,37.69061 140.81450,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,相馬郡,飯舘村,2017/08/06 01:13:34,2017/08/06 01:15:35,0.33667,494
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81450,37.69132 140.81450,37.69061 140.81540,37.69061 140.81540,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,相馬郡,飯舘村,2017/08/06 01:13:29,2017/08/06 01:15:37,0.33333,500
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81450,37.69203 140.81450,37.69132 140.81540,37.69132 140.81540,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,相馬郡,飯舘村,2017/08/06 01:15:38,2017/08/06 01:15:40,0.36333,501
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81540,37.69132 140.81540,37.69061 140.81630,37.69061 140.81630,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,相馬郡,飯舘村,2017/08/06 01:13:25,2017/08/06 01:13:27,0.48333,507
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81540,37.69203 140.81540,37.69132 140.81630,37.69132 140.81630,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2017/08/06 01:15:41,2017/08/06 01:15:45,0.40000,505
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69132 140.81630,37.69061 140.81720,37.69061 140.81720,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,相馬郡,飯舘村,2017/08/06 01:13:21,2017/08/06 01:13:23,0.28000,513
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69203 140.81630,37.69132 140.81720,37.69132 140.81720,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2017/08/06 01:15:46,2017/08/06 01:15:50,0.33500,511
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81720,37.69132 140.81720,37.69061 140.81809,37.69061 140.81809,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2017/08/06 01:13:17,2017/08/06 01:13:20,0.28750,516
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81720,37.69203 140.81720,37.69132 140.81809,37.69132 140.81809,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2017/08/06 01:15:51,2017/08/06 01:15:55,0.26750,516
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81809,37.69132 140.81809,37.69061 140.81899,37.69061 140.81899,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2017/08/06 01:13:16,2017/08/06 01:13:16,0.23000,517
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81809,37.69203 140.81809,37.69132 140.81899,37.69132 140.81899,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,相馬郡,飯舘村,2017/08/06 01:13:12,2017/08/06 01:15:59,0.32857,517
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81899,37.69203 140.81899,37.69132 140.81989,37.69132 140.81989,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,,南相馬市,2017/08/06 01:13:06,2017/08/06 01:16:04,0.44000,516
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69203 140.81989,37.69132 140.82079,37.69132 140.82079,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,福島県,,南相馬市,2017/08/06 01:13:01,2017/08/06 01:16:08,0.41625,510
15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82079,37.68777 140.82079,37.68706 140.82169,37.68706 140.82169,37.68777</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2017/08/06 01:11:54,2017/08/06 01:11:54,0.46000,449
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82079,37.68848 140.82079,37.68777 140.82169,37.68777 140.82169,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/08/06 01:11:55,2017/08/06 01:17:07,0.47000,456
17,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82079,37.69203 140.82079,37.69132 140.82169,37.69132 140.82169,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,福島県,,南相馬市,2017/08/06 01:12:55,2017/08/06 01:16:11,0.51500,505
18,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.68848 140.82169,37.68777 140.82259,37.68777 140.82259,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,福島県,,南相馬市,2017/08/06 01:11:57,2017/08/06 01:17:06,0.44538,453
19,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.68990 140.82169,37.68919 140.82259,37.68919 140.82259,37.68990</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,,南相馬市,2017/08/06 01:16:44,2017/08/06 01:16:48,0.46250,456
20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.69061 140.82169,37.68990 140.82259,37.68990 140.82259,37.69061</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,,南相馬市,2017/08/06 01:12:22,2017/08/06 01:16:43,0.60556,473
21,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.69203 140.82169,37.69132 140.82259,37.69132 140.82259,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:12:50,2017/08/06 01:16:17,0.48857,498
22,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.68706 140.82259,37.68635 140.82348,37.68635 140.82348,37.68706</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2017/08/06 01:17:17,2017/08/06 01:17:17,0.47000,441
23,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.68777 140.82259,37.68706 140.82348,37.68706 140.82348,37.68777</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,福島県,,南相馬市,2017/08/06 01:11:38,2017/08/06 01:17:18,0.57400,428
24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.68848 140.82259,37.68777 140.82348,37.68777 140.82348,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2017/08/06 01:12:04,2017/08/06 01:17:00,0.44333,450
25,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.68919 140.82259,37.68848 140.82348,37.68848 140.82348,37.68919</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,福島県,,南相馬市,2017/08/06 01:12:06,2017/08/06 01:16:54,0.36182,457
26,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.68990 140.82259,37.68919 140.82348,37.68919 140.82348,37.68990</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/08/06 01:12:14,2017/08/06 01:16:50,0.41500,456
27,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.69061 140.82259,37.68990 140.82348,37.68990 140.82348,37.69061</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:12:28,2017/08/06 01:16:38,0.37571,484
28,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.69132 140.82259,37.69061 140.82348,37.69061 140.82348,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/08/06 01:12:33,2017/08/06 01:16:35,0.37500,489
29,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82259,37.69203 140.82259,37.69132 140.82348,37.69132 140.82348,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:12:43,2017/08/06 01:16:22,0.39833,485
30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.68777 140.82348,37.68706 140.82438,37.68706 140.82438,37.68777</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2017/08/06 01:17:24,2017/08/06 01:17:24,0.46000,414
31,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.68848 140.82348,37.68777 140.82438,37.68777 140.82438,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,,南相馬市,2017/08/06 01:11:31,2017/08/06 01:17:29,0.48889,420
32,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.69132 140.82348,37.69061 140.82438,37.69061 140.82438,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:12:35,2017/08/06 01:16:28,0.38143,482
33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.69203 140.82348,37.69132 140.82438,37.69132 140.82438,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,福島県,,南相馬市,2017/08/06 01:12:41,2017/08/06 01:16:25,0.30400,483
34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82438,37.68848 140.82438,37.68777 140.82528,37.68777 140.82528,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2017/08/06 01:11:29,2017/08/06 01:17:31,0.52667,424
35,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82438,37.68919 140.82438,37.68848 140.82528,37.68848 140.82528,37.68919</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:11:24,2017/08/06 01:17:34,0.42857,421
36,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82528,37.68919 140.82528,37.68848 140.82618,37.68848 140.82618,37.68919</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:11:21,2017/08/06 01:17:39,0.32571,424
37,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82618,37.68848 140.82618,37.68777 140.82708,37.68777 140.82708,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,,南相馬市,2017/08/06 01:11:10,2017/08/06 01:11:13,0.58750,408
38,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82618,37.68919 140.82618,37.68848 140.82708,37.68848 140.82708,37.68919</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2017/08/06 01:17:41,2017/08/06 01:17:43,0.51667,423
39,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82618,37.68990 140.82618,37.68919 140.82708,37.68919 140.82708,37.68990</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:10:47,2017/08/06 01:18:09,0.44429,400
40,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82618,37.69061 140.82618,37.68990 140.82708,37.68990 140.82708,37.69061</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,福島県,,南相馬市,2017/08/06 01:10:41,2017/08/06 01:18:15,0.33818,396
41,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82618,37.69132 140.82618,37.69061 140.82708,37.69061 140.82708,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:10:37,2017/08/06 01:18:20,0.39571,393
42,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68848 140.82708,37.68777 140.82798,37.68777 140.82798,37.68848</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,福島県,,南相馬市,2017/08/06 01:11:03,2017/08/06 01:17:53,0.34400,410
43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68919 140.82708,37.68848 140.82798,37.68848 140.82798,37.68919</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:11:01,2017/08/06 01:18:00,0.36000,407
44,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68990 140.82708,37.68919 140.82798,37.68919 140.82798,37.68990</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/08/06 01:18:01,2017/08/06 01:18:02,0.33000,405
45,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69132 140.82708,37.69061 140.82798,37.69061 140.82798,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2017/08/06 01:10:35,2017/08/06 01:18:22,0.34000,389
46,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69203 140.82708,37.69132 140.82798,37.69132 140.82798,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:10:28,2017/08/06 01:18:28,0.36667,386
47,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82798,37.69203 140.82798,37.69132 140.82887,37.69132 140.82887,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:10:23,2017/08/06 01:18:31,0.33833,381
48,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82798,37.69274 140.82798,37.69203 140.82887,37.69203 140.82887,37.69274</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,福島県,,南相馬市,2017/08/06 01:10:16,2017/08/06 01:18:37,0.38333,382
49,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82798,37.69345 140.82798,37.69274 140.82887,37.69274 140.82887,37.69345</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2017/08/06 01:10:15,2017/08/06 01:18:39,0.39333,381
50,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82887,37.69345 140.82887,37.69274 140.82977,37.69274 140.82977,37.69345</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:10:08,2017/08/06 01:18:44,0.35667,373
51,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82977,37.69345 140.82977,37.69274 140.83067,37.69274 140.83067,37.69345</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,,南相馬市,2017/08/06 01:10:03,2017/08/06 01:10:07,0.34250,362
52,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83067,37.69345 140.83067,37.69274 140.83157,37.69274 140.83157,37.69345</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,福島県,,南相馬市,2017/08/06 01:09:58,2017/08/06 01:18:55,0.44800,352
53,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83157,37.69345 140.83157,37.69274 140.83247,37.69274 140.83247,37.69345</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,福島県,,南相馬市,2017/08/06 01:09:52,2017/08/06 01:19:03,0.47800,344
54,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83247,37.68777 140.83247,37.68706 140.83337,37.68706 140.83337,37.68777</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,福島県,,南相馬市,2017/08/06 01:08:47,2017/08/06 01:19:59,0.36667,297
