FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69262 140.81270,37.68693 140.81989,37.68693 140.81989,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",75,福島県,相馬郡,飯舘村,2017/08/06 01:13:06,2017/08/06 01:16:04,0.33787,504
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69262 140.81989,37.68693 140.82708,37.68693 140.82708,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",160,福島県,,南相馬市,2017/08/06 01:10:37,2017/08/06 01:18:20,0.43762,450
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69262 140.82708,37.68693 140.83426,37.68693 140.83426,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",104,福島県,,南相馬市,2017/08/06 01:08:40,2017/08/06 01:20:05,0.33577,343
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69830 140.82708,37.69262 140.83426,37.69262 140.83426,37.69830</coordinates></LinearRing></outerBoundaryIs></Polygon>",37,福島県,,南相馬市,2017/08/06 01:09:43,2017/08/06 01:19:07,0.39757,356
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.72104 140.82708,37.71536 140.83426,37.71536 140.83426,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",45,福島県,相馬郡,飯舘村,2017/07/15 23:30:51,2017/07/15 23:32:37,0.28467,194
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83426,37.69262 140.83426,37.68693 140.84145,37.68693 140.84145,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",99,福島県,,南相馬市,2017/08/06 01:07:31,2017/08/06 01:20:52,0.31667,270
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83426,37.72104 140.83426,37.71536 140.84145,37.71536 140.84145,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",100,福島県,,南相馬市,2017/07/15 23:29:38,2017/07/15 23:33:35,0.38290,163
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.68693 140.84145,37.68124 140.84864,37.68124 140.84864,37.68693</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,福島県,,南相馬市,2017/08/06 01:06:43,2017/08/06 01:21:32,0.35333,222
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.69262 140.84145,37.68693 140.84864,37.68693 140.84864,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",45,福島県,,南相馬市,2017/08/06 01:06:58,2017/08/06 01:21:22,0.33822,229
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.71536 140.84145,37.70967 140.84864,37.70967 140.84864,37.71536</coordinates></LinearRing></outerBoundaryIs></Polygon>",46,福島県,,南相馬市,2017/07/15 23:28:33,2017/07/15 23:34:32,0.32109,114
