FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69212 140.81270,37.69069 140.81450,37.69069 140.81450,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",27,福島県,相馬郡,飯舘村,2017/08/06 01:13:34,2017/08/06 01:15:35,0.30778,492
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81450,37.69212 140.81450,37.69069 140.81630,37.69069 140.81630,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,相馬郡,飯舘村,2017/08/06 01:13:25,2017/08/06 01:15:45,0.38375,503
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69212 140.81630,37.69069 140.81809,37.69069 140.81809,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,福島県,相馬郡,飯舘村,2017/08/06 01:13:17,2017/08/06 01:15:55,0.29333,514
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81809,37.69212 140.81809,37.69069 140.81989,37.69069 140.81989,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,福島県,,南相馬市,2017/08/06 01:13:06,2017/08/06 01:16:04,0.38176,516
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.68785 140.81989,37.68643 140.82169,37.68643 140.82169,37.68785</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2017/08/06 01:11:54,2017/08/06 01:11:54,0.46000,449
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.68927 140.81989,37.68785 140.82169,37.68785 140.82169,37.68927</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,,南相馬市,2017/08/06 01:11:55,2017/08/06 01:17:07,0.47000,456
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69212 140.81989,37.69069 140.82169,37.69069 140.82169,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,,南相馬市,2017/08/06 01:12:55,2017/08/06 01:16:11,0.46563,508
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.68785 140.82169,37.68643 140.82348,37.68643 140.82348,37.68785</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/08/06 01:11:38,2017/08/06 01:17:18,0.55667,430
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.68927 140.82169,37.68785 140.82348,37.68785 140.82348,37.68927</coordinates></LinearRing></outerBoundaryIs></Polygon>",29,福島県,,南相馬市,2017/08/06 01:11:57,2017/08/06 01:17:06,0.41138,455
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.69069 140.82169,37.68927 140.82348,37.68927 140.82348,37.69069</coordinates></LinearRing></outerBoundaryIs></Polygon>",21,福島県,,南相馬市,2017/08/06 01:12:22,2017/08/06 01:16:48,0.49714,474
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.69212 140.82169,37.69069 140.82348,37.69069 140.82348,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,福島県,,南相馬市,2017/08/06 01:12:43,2017/08/06 01:16:35,0.43214,493
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.68785 140.82348,37.68643 140.82528,37.68643 140.82528,37.68785</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2017/08/06 01:17:24,2017/08/06 01:17:24,0.46000,414
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.68927 140.82348,37.68785 140.82528,37.68785 140.82528,37.68927</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,福島県,,南相馬市,2017/08/06 01:11:24,2017/08/06 01:17:34,0.47263,421
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.69212 140.82348,37.69069 140.82528,37.69069 140.82528,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,福島県,,南相馬市,2017/08/06 01:12:35,2017/08/06 01:16:28,0.34917,483
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82528,37.68927 140.82528,37.68785 140.82708,37.68785 140.82708,37.68927</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,福島県,,南相馬市,2017/08/06 01:11:10,2017/08/06 01:17:43,0.44143,419
15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82528,37.69069 140.82528,37.68927 140.82708,37.68927 140.82708,37.69069</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,福島県,,南相馬市,2017/08/06 01:10:41,2017/08/06 01:18:15,0.37944,398
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82528,37.69212 140.82528,37.69069 140.82708,37.69069 140.82708,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,,南相馬市,2017/08/06 01:10:37,2017/08/06 01:18:20,0.39571,393
17,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68927 140.82708,37.68785 140.82887,37.68785 140.82887,37.68927</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,福島県,,南相馬市,2017/08/06 01:11:01,2017/08/06 01:18:02,0.34778,409
18,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69212 140.82708,37.69069 140.82887,37.69069 140.82887,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,,南相馬市,2017/08/06 01:10:23,2017/08/06 01:18:32,0.34937,385
