FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.79833,37.70599 140.79833,37.68324 140.82708,37.68324 140.82708,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",235,福島県,相馬郡,飯舘村,2017/08/06 01:10:37,2017/08/06 01:18:20,0.40579,468
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68324 140.82708,37.66048 140.85582,37.66048 140.85582,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",64,福島県,,南相馬市,2017/08/06 01:05:13,2017/08/06 01:22:42,0.34906,205
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.70599 140.82708,37.68324 140.85582,37.68324 140.85582,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",346,福島県,,南相馬市,2017/08/06 01:05:59,2017/08/06 01:22:05,0.33399,286
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.72873 140.82708,37.70599 140.85582,37.70599 140.85582,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",370,福島県,,南相馬市,2017/07/15 23:27:05,2017/07/15 23:35:52,0.31641,131
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.68324 140.85582,37.66048 140.88457,37.66048 140.88457,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",318,福島県,,南相馬市,2017/08/06 01:00:55,2017/08/06 01:26:24,0.37786,136
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.70599 140.85582,37.68324 140.88457,37.68324 140.88457,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",89,福島県,,南相馬市,2017/07/15 23:12:37,2017/07/15 23:16:57,0.29337,154
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.72873 140.85582,37.70599 140.88457,37.70599 140.88457,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",868,福島県,,南相馬市,2017/07/15 23:17:10,2017/07/15 23:52:28,0.15999,79
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.59217 140.88457,37.56938 140.91332,37.56938 140.91332,37.59217</coordinates></LinearRing></outerBoundaryIs></Polygon>",53,福島県,,南相馬市,2017/08/08 00:48:59,2017/08/08 00:50:37,0.36698,168
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.61494 140.88457,37.59217 140.91332,37.59217 140.91332,37.61494</coordinates></LinearRing></outerBoundaryIs></Polygon>",521,福島県,,南相馬市,2017/08/08 00:14:54,2017/08/11 20:18:14,0.36390,142
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.63772 140.88457,37.61494 140.91332,37.61494 140.91332,37.63772</coordinates></LinearRing></outerBoundaryIs></Polygon>",723,福島県,,南相馬市,2017/08/07 23:38:23,2017/08/11 19:29:39,0.33093,102
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.66048 140.88457,37.63772 140.91332,37.63772 140.91332,37.66048</coordinates></LinearRing></outerBoundaryIs></Polygon>",715,福島県,,南相馬市,2017/08/07 23:07:29,2017/08/07 23:50:32,0.32885,79
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.68324 140.88457,37.66048 140.91332,37.66048 140.91332,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",1161,福島県,,南相馬市,2017/07/15 22:37:34,2017/08/07 23:20:40,0.23705,67
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.70599 140.88457,37.68324 140.91332,37.68324 140.91332,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",551,福島県,,南相馬市,2017/07/15 22:46:13,2017/07/29 01:13:01,0.21470,91
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.72873 140.88457,37.70599 140.91332,37.70599 140.91332,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",312,福島県,,南相馬市,2017/07/15 23:19:15,2017/07/15 23:54:13,0.14404,61
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.75146 140.88457,37.72873 140.91332,37.72873 140.91332,37.75146</coordinates></LinearRing></outerBoundaryIs></Polygon>",156,福島県,,相馬市,2017/07/15 23:54:14,2017/07/16 00:07:09,0.12718,45
