FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
21,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84504,37.68660 140.84504,37.68375 140.84864,37.68375 140.84864,37.68660</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,,南相馬市,2017/08/06 01:06:43,2017/08/06 01:21:32,0.38444,222
22,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84504,37.68944 140.84504,37.68660 140.84864,37.68660 140.84864,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",20,福島県,,南相馬市,2017/08/06 01:06:54,2017/08/06 01:21:26,0.30950,224
23,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84504,37.71503 140.84504,37.71218 140.84864,37.71218 140.84864,37.71503</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,,南相馬市,2017/07/15 23:28:37,2017/07/15 23:34:28,0.31250,114
24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84504,37.71787 140.84504,37.71503 140.84864,37.71503 140.84864,37.71787</coordinates></LinearRing></outerBoundaryIs></Polygon>",57,福島県,,南相馬市,2017/07/15 23:28:14,2017/07/15 23:34:50,0.30351,104
25,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.68375 140.84864,37.68091 140.85223,37.68091 140.85223,37.68375</coordinates></LinearRing></outerBoundaryIs></Polygon>",32,福島県,,南相馬市,2017/08/06 01:05:47,2017/08/06 01:22:10,0.30781,211
26,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.68660 140.84864,37.68375 140.85223,37.68375 140.85223,37.68660</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,福島県,,南相馬市,2017/08/06 01:06:13,2017/08/06 01:22:01,0.30806,213
27,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.71787 140.84864,37.71503 140.85223,37.71503 140.85223,37.71787</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,福島県,,南相馬市,2017/07/15 23:28:06,2017/07/15 23:34:55,0.26000,91
28,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.72071 140.84864,37.71787 140.85223,37.71787 140.85223,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",49,福島県,,南相馬市,2017/07/15 23:27:35,2017/07/15 23:35:19,0.24878,95
29,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85223,37.68091 140.85223,37.67806 140.85582,37.67806 140.85582,37.68091</coordinates></LinearRing></outerBoundaryIs></Polygon>",36,福島県,,南相馬市,2017/08/06 01:05:13,2017/08/06 01:22:42,0.36861,200
30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85223,37.68375 140.85223,37.68091 140.85582,37.68091 140.85582,37.68375</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,福島県,,南相馬市,2017/08/06 01:05:39,2017/08/06 01:22:21,0.33909,209
