FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69328 140.81270,37.68191 140.82708,37.68191 140.82708,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",235,福島県,,南相馬市,2017/08/06 01:10:37,2017/08/06 01:18:20,0.40579,468
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69328 140.82708,37.68191 140.84145,37.68191 140.84145,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",229,福島県,,南相馬市,2017/08/06 01:07:31,2017/08/06 01:20:52,0.33240,314
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.70465 140.82708,37.69328 140.84145,37.69328 140.84145,37.70465</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,福島県,,南相馬市,2017/08/06 01:09:52,2017/08/06 01:19:05,0.44182,347
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.72740 140.82708,37.71603 140.84145,37.71603 140.84145,37.72740</coordinates></LinearRing></outerBoundaryIs></Polygon>",145,福島県,相馬郡,飯舘村,2017/07/15 23:29:38,2017/07/15 23:33:35,0.35241,173
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.68191 140.84145,37.67053 140.85582,37.67053 140.85582,37.68191</coordinates></LinearRing></outerBoundaryIs></Polygon>",44,福島県,,南相馬市,2017/08/06 01:05:13,2017/08/06 01:22:42,0.36455,201
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.69328 140.84145,37.68191 140.85582,37.68191 140.85582,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",126,福島県,,南相馬市,2017/08/06 01:05:47,2017/08/06 01:22:14,0.32444,219
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.71603 140.84145,37.70465 140.85582,37.70465 140.85582,37.71603</coordinates></LinearRing></outerBoundaryIs></Polygon>",75,福島県,,南相馬市,2017/07/15 23:28:25,2017/07/15 23:34:37,0.32160,113
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.72740 140.84145,37.71603 140.85582,37.71603 140.85582,37.72740</coordinates></LinearRing></outerBoundaryIs></Polygon>",150,福島県,,南相馬市,2017/07/15 23:27:05,2017/07/15 23:35:52,0.27900,100
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.67053 140.85582,37.65915 140.87020,37.65915 140.87020,37.67053</coordinates></LinearRing></outerBoundaryIs></Polygon>",59,福島県,,南相馬市,2017/08/06 01:02:22,2017/08/06 01:25:04,0.50373,122
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.68191 140.85582,37.67053 140.87020,37.67053 140.87020,37.68191</coordinates></LinearRing></outerBoundaryIs></Polygon>",145,福島県,,南相馬市,2017/08/06 01:03:14,2017/08/06 01:24:13,0.34772,172
