FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.79833,37.69328 140.79833,37.68191 140.81270,37.68191 140.81270,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",61,福島県,相馬郡,飯舘村,2016/11/26 19:46:07,2016/11/26 19:47:36,0.38,494
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69328 140.81270,37.68191 140.82708,37.68191 140.82708,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",261,福島県,,南相馬市,2016/11/26 19:42:14,2016/11/26 19:50:51,0.51,463
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69328 140.82708,37.68191 140.84145,37.68191 140.84145,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",257,福島県,,南相馬市,2016/11/26 19:38:58,2016/11/26 19:53:21,0.39,317
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.70465 140.82708,37.69328 140.84145,37.69328 140.84145,37.70465</coordinates></LinearRing></outerBoundaryIs></Polygon>",22,福島県,,南相馬市,2016/11/26 19:41:18,2016/11/26 19:51:35,0.56,353
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.72740 140.82708,37.71603 140.84145,37.71603 140.84145,37.72740</coordinates></LinearRing></outerBoundaryIs></Polygon>",95,福島県,相馬郡,飯舘村,2016/11/20 01:24:41,2016/11/20 01:27:20,0.40,170
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.68191 140.84145,37.67053 140.85582,37.67053 140.85582,37.68191</coordinates></LinearRing></outerBoundaryIs></Polygon>",49,福島県,,南相馬市,2016/11/26 19:36:48,2016/11/26 19:57:25,0.44,198
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.69328 140.84145,37.68191 140.85582,37.68191 140.85582,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",137,福島県,,南相馬市,2016/11/26 19:37:28,2016/11/26 19:56:56,0.42,218
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.71603 140.84145,37.70465 140.85582,37.70465 140.85582,37.71603</coordinates></LinearRing></outerBoundaryIs></Polygon>",48,福島県,,南相馬市,2016/11/20 01:23:45,2016/11/20 01:28:10,0.38,112
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.72740 140.84145,37.71603 140.85582,37.71603 140.85582,37.72740</coordinates></LinearRing></outerBoundaryIs></Polygon>",74,福島県,,南相馬市,2016/11/20 01:22:25,2016/11/20 01:28:55,0.32,99
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.67053 140.85582,37.65915 140.87020,37.65915 140.87020,37.67053</coordinates></LinearRing></outerBoundaryIs></Polygon>",62,福島県,,南相馬市,2016/11/26 19:34:02,2016/11/26 19:59:44,0.60,119
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.68191 140.85582,37.67053 140.87020,37.67053 140.87020,37.68191</coordinates></LinearRing></outerBoundaryIs></Polygon>",138,福島県,,南相馬市,2016/11/26 19:34:58,2016/11/26 19:58:50,0.39,165
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.72740 140.85582,37.71603 140.87020,37.71603 140.87020,37.72740</coordinates></LinearRing></outerBoundaryIs></Polygon>",155,福島県,,南相馬市,2016/11/20 01:20:20,2016/11/20 01:32:15,0.21,82
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.67053 140.87020,37.65915 140.88457,37.65915 140.88457,37.67053</coordinates></LinearRing></outerBoundaryIs></Polygon>",146,福島県,,南相馬市,2016/11/26 19:29:22,2016/11/26 20:01:12,0.43,93
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.69328 140.87020,37.68191 140.88457,37.68191 140.88457,37.69328</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2016/11/20 01:46:21,2016/11/20 01:46:21,0.28,113
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.70465 140.87020,37.69328 140.88457,37.69328 140.88457,37.70465</coordinates></LinearRing></outerBoundaryIs></Polygon>",53,福島県,,南相馬市,2016/11/20 01:43:51,2016/11/20 01:46:20,0.34,146
15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.71603 140.87020,37.70465 140.88457,37.70465 140.88457,37.71603</coordinates></LinearRing></outerBoundaryIs></Polygon>",56,福島県,,南相馬市,2016/11/20 01:41:39,2016/11/20 01:43:50,0.27,135
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.72740 140.87020,37.71603 140.88457,37.71603 140.88457,37.72740</coordinates></LinearRing></outerBoundaryIs></Polygon>",259,福島県,,南相馬市,2016/11/20 01:18:41,2016/11/20 01:37:34,0.16,65
17,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.63639 140.88457,37.62500 140.89894,37.62500 140.89894,37.63639</coordinates></LinearRing></outerBoundaryIs></Polygon>",38,福島県,,南相馬市,2016/10/30 22:32:27,2016/10/30 22:33:28,0.45,111
