FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80821,37.69203 140.80821,37.69132 140.80911,37.69132 140.80911,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,福島県,相馬郡,飯舘村,2016/11/26 19:46:31,2016/11/26 19:46:55,0.32,496
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80911,37.69132 140.80911,37.69061 140.81001,37.69061 140.81001,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,相馬郡,飯舘村,2016/11/26 19:46:24,2016/11/26 19:46:24,0.47,494
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80911,37.69203 140.80911,37.69132 140.81001,37.69132 140.81001,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,福島県,相馬郡,飯舘村,2016/11/26 19:46:26,2016/11/26 19:47:02,0.36,494
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81001,37.69132 140.81001,37.69061 140.81091,37.69061 140.81091,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,相馬郡,飯舘村,2016/11/26 19:46:18,2016/11/26 19:47:26,0.43,494
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81001,37.69203 140.81001,37.69132 140.81091,37.69132 140.81091,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,福島県,相馬郡,飯舘村,2016/11/26 19:47:03,2016/11/26 19:47:22,0.67,493
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81091,37.69132 140.81091,37.69061 140.81181,37.69061 140.81181,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,相馬郡,飯舘村,2016/11/26 19:46:12,2016/11/26 19:47:32,0.33,492
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81181,37.69132 140.81181,37.69061 140.81270,37.69061 140.81270,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,相馬郡,飯舘村,2016/11/26 19:46:07,2016/11/26 19:47:36,0.24,489
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69132 140.81270,37.69061 140.81360,37.69061 140.81360,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",7,福島県,相馬郡,飯舘村,2016/11/26 19:46:02,2016/11/26 19:47:41,0.32,488
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81360,37.69132 140.81360,37.69061 140.81450,37.69061 140.81450,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,相馬郡,飯舘村,2016/11/26 19:45:57,2016/11/26 19:47:45,0.39,490
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81360,37.69203 140.81360,37.69132 140.81450,37.69132 140.81450,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,相馬郡,飯舘村,2016/11/26 19:47:46,2016/11/26 19:47:48,0.36,491
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81450,37.69132 140.81450,37.69061 140.81540,37.69061 140.81540,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2016/11/26 19:45:52,2016/11/26 19:45:55,0.41,497
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81450,37.69203 140.81450,37.69132 140.81540,37.69132 140.81540,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,福島県,相馬郡,飯舘村,2016/11/26 19:47:49,2016/11/26 19:47:53,0.42,495
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81540,37.69132 140.81540,37.69061 140.81630,37.69061 140.81630,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,相馬郡,飯舘村,2016/11/26 19:45:48,2016/11/26 19:45:50,0.54,503
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81540,37.69203 140.81540,37.69132 140.81630,37.69132 140.81630,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2016/11/26 19:47:55,2016/11/26 19:47:58,0.55,501
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69132 140.81630,37.69061 140.81720,37.69061 140.81720,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,相馬郡,飯舘村,2016/11/26 19:45:43,2016/11/26 19:45:47,0.37,509
15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69203 140.81630,37.69132 140.81720,37.69132 140.81720,37.69203</coordinates></LinearRing></outerBoundaryIs></Polygon>",5,福島県,相馬郡,飯舘村,2016/11/26 19:48:00,2016/11/26 19:48:05,0.37,506
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81720,37.69132 140.81720,37.69061 140.81809,37.69061 140.81809,37.69132</coordinates></LinearRing></outerBoundaryIs></Polygon>",2,福島県,相馬郡,飯舘村,2016/11/26 19:45:40,2016/11/26 19:45:42,0.30,513
