FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80552,37.69262 140.80552,37.68693 140.81270,37.68693 140.81270,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",61,福島県,相馬郡,飯舘村,2016/11/26 19:46:07,2016/11/26 19:47:36,0.38,494
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69262 140.81270,37.68693 140.81989,37.68693 140.81989,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",65,福島県,相馬郡,飯舘村,2016/11/26 19:45:27,2016/11/26 19:48:19,0.41,505
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69262 140.81989,37.68693 140.82708,37.68693 140.82708,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",196,福島県,,南相馬市,2016/11/26 19:42:14,2016/11/26 19:50:51,0.54,449
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69262 140.82708,37.68693 140.83426,37.68693 140.83426,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",129,福島県,,南相馬市,2016/11/26 19:40:01,2016/11/26 19:52:35,0.40,344
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69830 140.82708,37.69262 140.83426,37.69262 140.83426,37.69830</coordinates></LinearRing></outerBoundaryIs></Polygon>",50,福島県,,南相馬市,2016/11/26 19:41:08,2016/11/26 19:51:42,0.48,354
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.72104 140.82708,37.71536 140.83426,37.71536 140.83426,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,福島県,相馬郡,飯舘村,2016/11/20 01:25:44,2016/11/20 01:26:34,0.34,190
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83426,37.69262 140.83426,37.68693 140.84145,37.68693 140.84145,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",100,福島県,,南相馬市,2016/11/26 19:38:58,2016/11/26 19:53:21,0.36,271
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.83426,37.72104 140.83426,37.71536 140.84145,37.71536 140.84145,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",64,福島県,,南相馬市,2016/11/20 01:24:41,2016/11/20 01:27:20,0.43,160
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.68693 140.84145,37.68124 140.84864,37.68124 140.84864,37.68693</coordinates></LinearRing></outerBoundaryIs></Polygon>",34,福島県,,南相馬市,2016/11/26 19:38:09,2016/11/26 19:56:12,0.51,218
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.69262 140.84145,37.68693 140.84864,37.68693 140.84864,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",46,福島県,,南相馬市,2016/11/26 19:38:25,2016/11/26 19:53:50,0.39,227
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.71536 140.84145,37.70967 140.84864,37.70967 140.84864,37.71536</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,福島県,,南相馬市,2016/11/20 01:23:45,2016/11/20 01:28:03,0.39,113
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84145,37.72104 140.84145,37.71536 140.84864,37.71536 140.84864,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",39,福島県,,南相馬市,2016/11/20 01:23:23,2016/11/20 01:28:15,0.36,114
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.68124 140.84864,37.67555 140.85582,37.67555 140.85582,37.68124</coordinates></LinearRing></outerBoundaryIs></Polygon>",42,福島県,,南相馬市,2016/11/26 19:36:48,2016/11/26 19:57:25,0.46,196
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.68693 140.84864,37.68124 140.85582,37.68124 140.85582,37.68693</coordinates></LinearRing></outerBoundaryIs></Polygon>",64,福島県,,南相馬市,2016/11/26 19:37:18,2016/11/26 19:57:01,0.38,210
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.84864,37.72104 140.84864,37.71536 140.85582,37.71536 140.85582,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",52,福島県,,南相馬市,2016/11/20 01:22:25,2016/11/20 01:28:55,0.31,91
15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.68124 140.85582,37.67555 140.86301,37.67555 140.86301,37.68124</coordinates></LinearRing></outerBoundaryIs></Polygon>",70,福島県,,南相馬市,2016/11/26 19:35:52,2016/11/26 19:58:13,0.39,183
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.72104 140.85582,37.71536 140.86301,37.71536 140.86301,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",49,福島県,,南相馬市,2016/11/20 01:21:31,2016/11/20 01:29:52,0.31,85
17,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.66986 140.86301,37.66418 140.87020,37.66418 140.87020,37.66986</coordinates></LinearRing></outerBoundaryIs></Polygon>",53,福島県,,南相馬市,2016/11/26 19:34:02,2016/11/26 19:59:44,0.60,117
18,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.67555 140.86301,37.66986 140.87020,37.66986 140.87020,37.67555</coordinates></LinearRing></outerBoundaryIs></Polygon>",76,福島県,,南相馬市,2016/11/26 19:34:51,2016/11/26 19:58:56,0.42,144
19,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.68124 140.86301,37.67555 140.87020,37.67555 140.87020,37.68124</coordinates></LinearRing></outerBoundaryIs></Polygon>",1,福島県,,南相馬市,2016/11/26 19:58:14,2016/11/26 19:58:14,0.34,176
20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.72104 140.86301,37.71536 140.87020,37.71536 140.87020,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,,南相馬市,2016/11/20 01:21:27,2016/11/20 01:29:56,0.21,81
21,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.86301,37.72673 140.86301,37.72104 140.87020,37.72104 140.87020,37.72673</coordinates></LinearRing></outerBoundaryIs></Polygon>",102,福島県,,南相馬市,2016/11/20 01:20:20,2016/11/20 01:32:15,0.16,80
22,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.66986 140.87020,37.66418 140.87738,37.66418 140.87738,37.66986</coordinates></LinearRing></outerBoundaryIs></Polygon>",66,福島県,,南相馬市,2016/11/26 19:33:16,2016/11/26 20:00:28,0.45,101
23,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.72104 140.87020,37.71536 140.87738,37.71536 140.87738,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",46,福島県,,南相馬市,2016/11/20 01:32:21,2016/11/20 01:33:58,0.18,73
24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87020,37.72673 140.87020,37.72104 140.87738,37.72104 140.87738,37.72673</coordinates></LinearRing></outerBoundaryIs></Polygon>",47,福島県,,南相馬市,2016/11/20 01:19:33,2016/11/20 01:34:19,0.17,70
25,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.66986 140.87738,37.66418 140.88457,37.66418 140.88457,37.66986</coordinates></LinearRing></outerBoundaryIs></Polygon>",80,福島県,,南相馬市,2016/11/26 19:29:22,2016/11/26 20:01:12,0.41,87
26,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.69830 140.87738,37.69262 140.88457,37.69262 140.88457,37.69830</coordinates></LinearRing></outerBoundaryIs></Polygon>",33,福島県,,南相馬市,2016/11/20 01:45:01,2016/11/20 01:46:21,0.32,118
27,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.70399 140.87738,37.69830 140.88457,37.69830 140.88457,37.70399</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,福島県,,南相馬市,2016/11/20 01:43:58,2016/11/20 01:44:38,0.37,188
28,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.70967 140.87738,37.70399 140.88457,37.70399 140.88457,37.70967</coordinates></LinearRing></outerBoundaryIs></Polygon>",26,福島県,,南相馬市,2016/11/20 01:43:04,2016/11/20 01:43:56,0.34,166
29,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.71536 140.87738,37.70967 140.88457,37.70967 140.88457,37.71536</coordinates></LinearRing></outerBoundaryIs></Polygon>",33,福島県,,南相馬市,2016/11/20 01:41:49,2016/11/20 01:42:57,0.23,117
30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.72104 140.87738,37.71536 140.88457,37.71536 140.88457,37.72104</coordinates></LinearRing></outerBoundaryIs></Polygon>",35,福島県,,南相馬市,2016/11/20 01:36:44,2016/11/20 01:41:39,0.18,62
31,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.72673 140.87738,37.72104 140.88457,37.72104 140.88457,37.72673</coordinates></LinearRing></outerBoundaryIs></Polygon>",132,福島県,,南相馬市,2016/11/20 01:18:41,2016/11/20 01:36:43,0.15,62
32,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.66418 140.88457,37.65849 140.89176,37.65849 140.89176,37.66418</coordinates></LinearRing></outerBoundaryIs></Polygon>",90,福島県,,南相馬市,2016/11/26 19:25:13,2016/11/26 20:06:58,0.34,75
33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.66986 140.88457,37.66418 140.89176,37.66418 140.89176,37.66986</coordinates></LinearRing></outerBoundaryIs></Polygon>",186,福島県,,南相馬市,2016/11/26 19:28:55,2016/11/26 20:06:49,0.40,78
34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.68693 140.88457,37.68124 140.89176,37.68124 140.89176,37.68693</coordinates></LinearRing></outerBoundaryIs></Polygon>",44,福島県,,南相馬市,2016/11/20 01:47:45,2016/11/26 20:12:36,0.33,105
35,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.69262 140.88457,37.68693 140.89176,37.68693 140.89176,37.69262</coordinates></LinearRing></outerBoundaryIs></Polygon>",151,福島県,,南相馬市,2016/11/20 01:46:32,2016/11/26 20:20:15,0.28,95
