FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80731,37.69212 140.80731,37.69069 140.80911,37.69069 140.80911,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,福島県,相馬郡,飯舘村,2016/11/26 19:46:31,2016/11/26 19:46:55,0.32,496
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80911,37.69212 140.80911,37.69069 140.81091,37.69069 140.81091,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",26,福島県,相馬郡,飯舘村,2016/11/26 19:46:18,2016/11/26 19:47:26,0.48,494
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81091,37.69212 140.81091,37.69069 140.81270,37.69069 140.81270,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,相馬郡,飯舘村,2016/11/26 19:46:07,2016/11/26 19:47:36,0.29,491
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69212 140.81270,37.69069 140.81450,37.69069 140.81450,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,福島県,相馬郡,飯舘村,2016/11/26 19:45:57,2016/11/26 19:47:48,0.36,489
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81450,37.69212 140.81450,37.69069 140.81630,37.69069 140.81630,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,相馬郡,飯舘村,2016/11/26 19:45:48,2016/11/26 19:47:58,0.47,499
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69212 140.81630,37.69069 140.81809,37.69069 140.81809,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,福島県,相馬郡,飯舘村,2016/11/26 19:45:38,2016/11/26 19:48:10,0.34,511
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81809,37.69212 140.81809,37.69069 140.81989,37.69069 140.81989,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",17,福島県,,南相馬市,2016/11/26 19:45:27,2016/11/26 19:48:19,0.45,517
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.68785 140.81989,37.68643 140.82169,37.68643 140.82169,37.68785</coordinates></LinearRing></outerBoundaryIs></Polygon>",3,福島県,,南相馬市,2016/11/26 19:43:41,2016/11/26 19:43:43,0.50,448
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69212 140.81989,37.69069 140.82169,37.69069 140.82169,37.69212</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,福島県,,南相馬市,2016/11/26 19:45:15,2016/11/26 19:48:27,0.56,508
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.68785 140.82169,37.68643 140.82348,37.68643 140.82348,37.68785</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,福島県,,南相馬市,2016/11/26 19:43:25,2016/11/26 19:49:43,0.67,436
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82169,37.68927 140.82169,37.68785 140.82348,37.68785 140.82348,37.68927</coordinates></LinearRing></outerBoundaryIs></Polygon>",28,福島県,,南相馬市,2016/11/26 19:43:45,2016/11/26 19:49:27,0.53,456
