FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80552,37.69228 140.80552,37.68944 140.80911,37.68944 140.80911,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,福島県,相馬郡,飯舘村,2016/11/26 19:46:31,2016/11/26 19:46:55,0.32,496
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.80911,37.69228 140.80911,37.68944 140.81270,37.68944 140.81270,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",42,福島県,相馬郡,飯舘村,2016/11/26 19:46:07,2016/11/26 19:47:36,0.41,493
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81270,37.69228 140.81270,37.68944 140.81630,37.68944 140.81630,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",31,福島県,相馬郡,飯舘村,2016/11/26 19:45:48,2016/11/26 19:47:58,0.42,494
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81630,37.69228 140.81630,37.68944 140.81989,37.68944 140.81989,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",34,福島県,相馬郡,飯舘村,2016/11/26 19:45:27,2016/11/26 19:48:19,0.40,514
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.68944 140.81989,37.68660 140.82348,37.68660 140.82348,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",48,福島県,,南相馬市,2016/11/26 19:43:25,2016/11/26 19:49:43,0.57,451
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.81989,37.69228 140.81989,37.68944 140.82348,37.68944 140.82348,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",61,福島県,,南相馬市,2016/11/26 19:44:06,2016/11/26 19:49:03,0.55,487
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.68944 140.82348,37.68660 140.82708,37.68660 140.82708,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",47,福島県,,南相馬市,2016/11/26 19:42:53,2016/11/26 19:50:32,0.57,421
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82348,37.69228 140.82348,37.68944 140.82708,37.68944 140.82708,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",40,福島県,,南相馬市,2016/11/26 19:42:14,2016/11/26 19:50:51,0.45,419
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68944 140.82708,37.68660 140.83067,37.68660 140.83067,37.68944</coordinates></LinearRing></outerBoundaryIs></Polygon>",28,福島県,,南相馬市,2016/11/26 19:42:34,2016/11/26 19:50:30,0.42,404
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.69228 140.82708,37.68944 140.83067,37.68944 140.83067,37.69228</coordinates></LinearRing></outerBoundaryIs></Polygon>",26,福島県,,南相馬市,2016/11/26 19:41:58,2016/11/26 19:51:06,0.42,379
